name,hindiname,category,price,mrp,unit,description,image,veg,bestseller,combo,quickqty,rating,prepTime,serves,sizes,addons,stock,cut,halal,freshness
Chicken Curry Cut,चिकन करी कट,Chicken,260,300,500g,"Fresh farm chicken cut into curry-size pieces, cleaned & marinade-ready",https://images.unsplash.com/photo-1604908176997-125f25cc6f3d?w=400,no,yes,no,no,4.7,15 min,2-3,"500g:260, 1kg:480, 2kg:920",,in stock,Curry cut,Yes,Same day
Chicken Boneless Breast,चिकन बोनलेस ब्रेस्ट,Chicken,420,480,500g,Premium boneless skinless chicken breast pieces — perfect for tikka and grills,https://images.unsplash.com/photo-1604503468506-a8da13d82791?w=400,no,yes,no,no,4.8,10 min,2,"500g:420, 1kg:780",,in stock,Boneless,Yes,Same day
Whole Chicken,पूरा मुर्गा,Chicken,250,290,1 bird,Whole farm chicken — your choice of skin on or off,https://images.unsplash.com/photo-1587593810167-a84920ea0781?w=400,no,no,no,no,4.6,10 min,3-4,,Skin removal:30,in stock,Whole,Yes,Same day
Chicken Keema (Mince),चिकन कीमा,Chicken,290,330,500g,Freshly minced chicken — coarse grind for keema curry,https://images.unsplash.com/photo-1606728035253-49e8a23146de?w=400,no,no,no,no,4.5,10 min,2-3,,,in stock,Mince,Yes,Same day
Chicken Wings,चिकन विंग्स,Chicken,280,320,500g,Whole chicken wings — great for fry/tandoor/Buffalo,https://images.unsplash.com/photo-1527477396000-e27163b481c2?w=400,no,no,no,no,4.4,10 min,2,,,in stock,Wings,Yes,Same day
Chicken Drumsticks,चिकन ड्रमस्टिक,Chicken,320,360,500g,Skinless drumsticks for tandoor/curry,https://images.unsplash.com/photo-1611784728558-6a7645e72966?w=400,no,no,no,no,4.6,10 min,2-3,,,in stock,Leg piece,Yes,Same day
Mutton Curry Cut,मटन करी कट,Mutton,750,840,500g,Premium goat meat curry cut — bone-in pieces with right fat ratio,https://images.unsplash.com/photo-1602476416757-7a3a8e0e8e1f?w=400,no,yes,no,no,4.8,20 min,2-3,"500g:750, 1kg:1450",,in stock,Curry cut,Yes,Same day
Mutton Boneless,मटन बोनलेस,Mutton,950,1100,500g,Premium boneless mutton — for kebab/seekh/keema,https://images.unsplash.com/photo-1551183053-bf91a1d81141?w=400,no,no,no,no,4.7,15 min,2,"500g:950, 1kg:1850",,in stock,Boneless,Yes,Same day
Mutton Keema,मटन कीमा,Mutton,820,920,500g,"Freshly minced mutton — perfect for keema, kababs and parathas",https://images.unsplash.com/photo-1601001815853-3835274403b3?w=400,no,no,no,no,4.7,15 min,2-3,,,in stock,Mince,Yes,Same day
Mutton Liver (Kaleji),मटन कलेजी,Mutton,420,470,500g,Fresh mutton liver — cleaned and sliced,https://images.unsplash.com/photo-1606728035253-49e8a23146de?w=400,no,no,no,no,4.4,10 min,2,,,in stock,Organ,Yes,Same day
Mutton Champ (Ribs),मटन चैंप,Mutton,1100,1250,500g,Mutton ribs — perfect for tandoor/grill,https://images.unsplash.com/photo-1602476416757-7a3a8e0e8e1f?w=400,no,yes,no,no,4.9,20 min,2-3,,,in stock,Ribs,Yes,Same day
Fish Rohu Cleaned,मछली रोहू,Fish,320,380,1 kg,"Fresh rohu fish — descaled, gutted and cut into pieces",https://images.unsplash.com/photo-1559056961-84eb6a3d3a78?w=400,no,no,no,no,4.5,15 min,3-4,,,in stock,Cleaned,Halal-not-applicable,Same day
Fish Pomfret,पॉमफ्रेट,Fish,650,750,500g,Silver pomfret — cleaned whole or cut as you wish,https://images.unsplash.com/photo-1611171711791-b34b41b1d24b?w=400,no,yes,no,no,4.7,15 min,2,,,in stock,Whole,Halal-not-applicable,Same day
Prawns Medium,मीडियम झींगा,Fish,580,680,500g,Fresh medium-size prawns — deveined and shelled on request,https://images.unsplash.com/photo-1565680018434-b513d5e5fd47?w=400,no,no,no,no,4.6,15 min,2,,Devein:50,in stock,Whole,Halal-not-applicable,Same day
Egg Tray (30 pcs),अंडे की ट्रे,Eggs,210,240,30 pcs,Farm-fresh white eggs — full tray of 30,https://images.unsplash.com/photo-1582722872445-44dc5f7e3c8f?w=400,no,no,yes,yes,4.8,5 min,N/A,"Half tray (15):110, Full tray (30):210, Two trays (60):400",,in stock,N/A,Halal-not-applicable,Today
Brown Eggs Tray (30 pcs),भूरे अंडे की ट्रे,Eggs,290,330,30 pcs,Premium country brown eggs — natural,https://images.unsplash.com/photo-1518569656558-1f25e69d93d7?w=400,no,no,no,no,4.7,5 min,N/A,,,in stock,N/A,Halal-not-applicable,Today
Marinated Tandoori Chicken,तंदूरी मसाला चिकन,Marinated,380,440,500g,Pre-marinated bone-in chicken in our signature tandoori masala,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=400,no,yes,yes,no,4.8,Ready,2-3,,,in stock,Curry cut,Yes,Same day
Marinated Tikka Boneless,मसाला तिक्का बोनलेस,Marinated,520,580,500g,Boneless chicken in classic tikka marinade — straight to grill,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=400,no,yes,yes,no,4.9,Ready,2,,,in stock,Boneless,Yes,Same day
Mutton Seekh Kebab Mix,मटन सीख कबाब मिक्स,Marinated,890,990,500g,Mutton mince blended with herbs — shape and grill,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=400,no,no,yes,no,4.7,Ready,2-3,,,in stock,Mince,Yes,Same day
Spice Mix Garam Masala,गरम मसाला,Spices,80,100,100g,Freshly ground meat-shop garam masala blend,https://images.unsplash.com/photo-1532336414038-cf19250c5757?w=400,yes,no,no,no,4.5,Ready,N/A,,,in stock,N/A,Halal-not-applicable,Long shelf
