name,category,price,unit,description,image,veg,bestseller,stock,prepTime
Veg Fried Rice,Chinese,100,1 plate,Wok-tossed rice with mixed veggies and Indo-Chinese seasoning,https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=400,yes,yes,in stock,15 min
Paneer Fried Rice,Chinese,130,1 plate,Cottage cheese cubes tossed with rice and spices,https://images.unsplash.com/photo-1631292784640-2b24be784d5d?w=400,yes,no,in stock,15 min
Egg Fried Rice,Chinese,140,1 plate,Classic egg fried rice with scrambled egg,https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=400,no,no,in stock,15 min
Chicken Fried Rice,Chinese,160,1 plate,Chicken pieces with wok-fried rice,https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=400,no,yes,in stock,18 min
Chilli Patato,Chinese,100,1 plate,Crispy potato in spicy Indo-Chinese sauce,https://images.unsplash.com/photo-1606755456206-b25206cde27e?w=400,yes,no,in stock,12 min
Chilli Honey Patato,Chinese,120,1 plate,Sweet & spicy honey-glazed crispy potatoes,https://images.unsplash.com/photo-1606755456206-b25206cde27e?w=400,yes,yes,in stock,12 min
Chilli Chicken,Chinese,160,1 plate,Boneless chicken in spicy Indo-Chinese sauce,https://images.unsplash.com/photo-1626777553635-e1f3ed8e2b07?w=400,no,yes,in stock,18 min
French Fries,Chinese,100,1 plate,Crispy golden fries — salted,https://images.unsplash.com/photo-1573080496219-bb080dd4f877?w=400,yes,no,in stock,8 min
Veg Noodles,Noodles,100,1 plate,Stir-fried noodles with mixed vegetables,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,yes,yes,in stock,12 min
Chilli Garlic Noodles,Noodles,120,1 plate,Spicy garlic-tossed noodles with veggies,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,yes,no,in stock,12 min
Hakka Noodles,Noodles,120,1 plate,Classic Hakka-style stir-fried noodles,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,yes,yes,in stock,12 min
Singapuri Noodles,Noodles,140,1 plate,Singapore-style tangy noodles with sweet-sour kick,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,yes,no,in stock,15 min
Egg Noodles,Noodles,140,1 plate,Stir-fried noodles with scrambled egg,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,no,no,in stock,12 min
Paneer Noodles,Noodles,130,1 plate,Noodles tossed with paneer and Indo-Chinese spices,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,yes,no,in stock,12 min
Chicken Noodles,Noodles,160,1 plate,Stir-fried noodles with shredded chicken,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,no,yes,in stock,15 min
Poha,Noodles,50,1 plate,Light Indian breakfast — flattened rice with curry leaves,https://images.unsplash.com/photo-1626500155235-c3a72c4a8b1a?w=400,yes,no,in stock,8 min
Plain Dosa,Dosa,80,1 dosa,Crispy classic plain dosa with sambar & chutney,https://images.unsplash.com/photo-1668236543090-82eba5ee5976?w=400,yes,yes,in stock,10 min
Masala Dosa,Dosa,100,1 dosa,Crispy dosa stuffed with spiced potato masala,https://images.unsplash.com/photo-1668236543090-82eba5ee5976?w=400,yes,yes,in stock,12 min
Masala Paneer Dosa,Dosa,110,1 dosa,Masala dosa with paneer cubes,https://images.unsplash.com/photo-1668236543090-82eba5ee5976?w=400,yes,no,in stock,12 min
Special Paneer Dosa,Dosa,120,1 dosa,Premium dosa loaded with paneer & special masala,https://images.unsplash.com/photo-1668236543090-82eba5ee5976?w=400,yes,no,in stock,15 min
Onion Dosa,Dosa,100,1 dosa,Crispy dosa topped with sautéed onions,https://images.unsplash.com/photo-1668236543090-82eba5ee5976?w=400,yes,no,in stock,12 min
Onion Uthapan,Uthapan,90,1 piece,Thick rice pancake topped with onions,https://images.unsplash.com/photo-1565557623262-b51c2513a641?w=400,yes,no,in stock,10 min
Tomato Uthapan,Uthapan,90,1 piece,Soft uthapan with fresh tomato topping,https://images.unsplash.com/photo-1565557623262-b51c2513a641?w=400,yes,no,in stock,10 min
Mix Veg Uthapan,Uthapan,100,1 piece,Uthapan loaded with onion tomato capsicum and coriander,https://images.unsplash.com/photo-1565557623262-b51c2513a641?w=400,yes,yes,in stock,12 min
Paneer Uthapan,Uthapan,140,1 piece,Premium uthapan with paneer crumble,https://images.unsplash.com/photo-1565557623262-b51c2513a641?w=400,yes,no,in stock,12 min
Chila Mix Veg,Uthapan,100,1 piece,Besan chila with mixed veggies — protein-rich,https://images.unsplash.com/photo-1565557623262-b51c2513a641?w=400,yes,no,in stock,10 min
Idli Sambar,Idli Vada Sambar,90,2 idli,Soft steamed idlis served with sambar & chutney,https://images.unsplash.com/photo-1589301760014-d929f3979dbc?w=400,yes,yes,in stock,8 min
Vada Sambar,Idli Vada Sambar,80,2 vada,Crispy medu vada with hot sambar & chutney,https://images.unsplash.com/photo-1630383249896-cb6a52f10a55?w=400,yes,yes,in stock,8 min
Extra Sambar,Idli Vada Sambar,50,1 bowl,Hot fresh sambar — top up,https://images.unsplash.com/photo-1589301760014-d929f3979dbc?w=400,yes,no,in stock,2 min
Upma,Idli Vada Sambar,70,1 plate,South Indian semolina breakfast with curry leaves,https://images.unsplash.com/photo-1626500155235-c3a72c4a8b1a?w=400,yes,no,in stock,10 min
Lemon Rice,Rice Meal,120,1 plate,Tangy lemon-tempered rice with peanuts,https://images.unsplash.com/photo-1626500155235-c3a72c4a8b1a?w=400,yes,no,in stock,10 min
Cut Rice,Rice Meal,90,1 plate,Curd rice — cool and comforting,https://images.unsplash.com/photo-1626500155235-c3a72c4a8b1a?w=400,yes,no,in stock,8 min
Dokla,Rice Meal,30,1 piece,Soft steamed gram-flour cake with chutney,https://images.unsplash.com/photo-1626500155235-c3a72c4a8b1a?w=400,yes,no,in stock,5 min
Special Thali,Thali,150,1 thali,"Dosa + Sambar + Idli + Vada — complete meal combo",https://images.unsplash.com/photo-1668236543090-82eba5ee5976?w=400,yes,yes,in stock,15 min
Plain Maggi,Maggi,50,1 bowl,Classic Maggi with masala — quick comfort,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,yes,yes,in stock,8 min
Veg Maggi,Maggi,50,1 bowl,Maggi with mixed veggies,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,yes,no,in stock,8 min
Egg Maggi,Maggi,90,1 bowl,Maggi topped with scrambled egg,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,no,no,in stock,10 min
Cheese Corn Maggi,Maggi,100,1 bowl,Maggi with melted cheese and sweet corn,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,yes,no,in stock,10 min
Chhole Samosa,Samosa & Patties,50,1 plate,Hot samosa topped with spicy chhole,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=400,yes,yes,in stock,5 min
Samosa Chat,Samosa & Patties,70,1 plate,Samosa crushed with chutneys curd onion & sev,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=400,yes,yes,in stock,5 min
Samosa,Samosa & Patties,20,1 piece,Crispy fried samosa with potato filling,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=400,yes,yes,in stock,3 min
Bread Pakoda,Samosa & Patties,20,1 piece,Spiced potato-stuffed bread fritter,https://images.unsplash.com/photo-1606491956689-3d8db2cdc4f6?w=400,yes,no,in stock,5 min
Kachori,Samosa & Patties,25,1 piece,Crispy lentil-stuffed flaky kachori,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=400,yes,no,in stock,3 min
Kachori Sabji,Samosa & Patties,40,1 plate,Kachori served with curry & chutneys,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=400,yes,no,in stock,5 min
Aloo Patties,Samosa & Patties,25,1 piece,Crispy potato patty,https://images.unsplash.com/photo-1606491956689-3d8db2cdc4f6?w=400,yes,no,in stock,3 min
Paneer Patties,Samosa & Patties,30,1 piece,Cottage cheese patty,https://images.unsplash.com/photo-1606491956689-3d8db2cdc4f6?w=400,yes,no,in stock,3 min
Special Patties,Samosa & Patties,70,1 piece,House-special loaded patties,https://images.unsplash.com/photo-1606491956689-3d8db2cdc4f6?w=400,yes,no,in stock,5 min
Papri Chat,Samosa & Patties,50,1 plate,Crispy papris with curd chutneys & sev,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=400,yes,no,in stock,5 min
Dahi Papdi Chaat,Samosa & Patties,70,1 plate,Loaded papdi chaat with thick yoghurt,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=400,yes,no,in stock,5 min
Bhel Papdi Chat,Samosa & Patties,60,1 plate,Bhel + papdi tangy mix,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=400,yes,no,in stock,5 min
Bhel Puri,Samosa & Patties,60,1 plate,Tangy puffed-rice mumbai-style chaat,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=400,yes,yes,in stock,5 min
