name,category,price,unit,description,image,veg,bestseller,stock,prepTime
Dal,North Indian,70,250 ml,Home-style yellow dal tadka,https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=400,yes,no,in stock,12 min
Dal Family Pack,North Indian,140,500 ml,Home-style yellow dal tadka — family pack,https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=400,yes,no,in stock,12 min
Paneer,North Indian,70,250 ml,Cottage cheese curry — small pack,https://images.unsplash.com/photo-1631452180519-c014fe946bc7?w=400,yes,yes,in stock,15 min
Paneer Family Pack,North Indian,140,500 ml,Cottage cheese curry — family pack,https://images.unsplash.com/photo-1631452180519-c014fe946bc7?w=400,yes,yes,in stock,15 min
Seasonal Sabji,North Indian,70,250 ml,Today's seasonal vegetable curry,https://images.unsplash.com/photo-1565557623262-b51c2513a641?w=400,yes,no,in stock,12 min
Seasonal Sabji Family Pack,North Indian,140,500 ml,Today's seasonal vegetable curry — family pack,https://images.unsplash.com/photo-1565557623262-b51c2513a641?w=400,yes,no,in stock,12 min
Chicken Curry,North Indian,100,250 ml,Home-style chicken curry — small pack,https://images.unsplash.com/photo-1604908554049-2ada6e1cd193?w=400,no,yes,in stock,18 min
Chicken Curry Family Pack,North Indian,200,500 ml,Home-style chicken curry — family pack,https://images.unsplash.com/photo-1604908554049-2ada6e1cd193?w=400,no,yes,in stock,18 min
Plain Rice,North Indian,60,250 ml,Steamed basmati rice — small,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=400,yes,no,in stock,8 min
Plain Rice Family Pack,North Indian,100,500 ml,Steamed basmati rice — family pack,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=400,yes,no,in stock,8 min
Dal + Roti or Rice,Combos,100,1 plate,Dal with 3 roti or rice + salad,https://images.unsplash.com/photo-1567188040759-fb8a883dc6d8?w=400,yes,yes,in stock,15 min
Paneer + Roti or Rice,Combos,100,1 plate,Paneer curry with 3 roti or rice + salad,https://images.unsplash.com/photo-1567188040759-fb8a883dc6d8?w=400,yes,yes,in stock,15 min
Seasonal Sabji + Roti or Rice,Combos,100,1 plate,Sabji with 3 roti or rice + salad,https://images.unsplash.com/photo-1567188040759-fb8a883dc6d8?w=400,yes,no,in stock,15 min
Chicken + Roti or Rice,Combos,130,1 plate,Chicken curry with 3 roti or rice + salad,https://images.unsplash.com/photo-1567188040759-fb8a883dc6d8?w=400,no,yes,in stock,18 min
Veg Thali,Thali,140,1 thali,Dal + sabji + 4 roti + rice + salad + papad,https://images.unsplash.com/photo-1567188040759-fb8a883dc6d8?w=400,yes,yes,in stock,18 min
Chicken Thali,Thali,170,1 thali,Chicken curry + 4 roti + rice + salad + papad,https://images.unsplash.com/photo-1567188040759-fb8a883dc6d8?w=400,no,yes,in stock,20 min
Veg Biryani,Biryani,100,1 plate,Hyderabadi-style veg biryani with raita,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=400,yes,no,in stock,18 min
Chicken Biryani,Biryani,130,1 plate,Aromatic chicken biryani with raita,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=400,no,yes,in stock,20 min
Steam Veg Momos,Momos,120,8 pcs,Soft steamed veg momos with chutney,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,yes,yes,in stock,12 min
Steam Paneer Momos,Momos,140,8 pcs,Soft steamed paneer momos with chutney,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,yes,no,in stock,12 min
Steam Chicken Momos,Momos,150,8 pcs,Soft steamed chicken momos with chutney,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,no,yes,in stock,12 min
Fried Veg Momos,Momos,140,8 pcs,Crispy fried veg momos with chutney,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,yes,no,in stock,12 min
Fried Paneer Momos,Momos,150,8 pcs,Crispy fried paneer momos with chutney,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,yes,no,in stock,12 min
Fried Chicken Momos,Momos,160,8 pcs,Crispy fried chicken momos with chutney,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,no,no,in stock,12 min
