name,category,price,unit,description,image,veg,bestseller,stock,prepTime
Veg Noodle,Noodles,70,1 plate,Stir-fried noodles with mixed vegetables — student favourite,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,yes,yes,in stock,12 min
Hakka Noodle,Noodles,90,1 plate,Classic Hakka-style stir-fried noodles tossed with veggies,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,yes,yes,in stock,12 min
Chilli Garlic Noodle,Noodles,100,1 plate,Spicy garlic-tossed noodles with bell peppers,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,yes,no,in stock,12 min
Singapuri Noodle,Noodles,120,1 plate,Singapore-style sweet-spicy noodles with curry-leaf kick,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,yes,no,in stock,15 min
Egg Noodle (Half),Noodles,90,1 plate,Stir-fried noodles with scrambled egg — half plate,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,no,no,in stock,12 min
Egg Noodle (Full),Noodles,110,1 plate,Stir-fried noodles with scrambled egg — full plate,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,no,no,in stock,12 min
Chicken Noodle,Noodles,130,1 plate,Stir-fried noodles with shredded chicken,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,no,yes,in stock,15 min
Veg Thukpa,Thukpa,90,1 bowl,Hearty Tibetan-style noodle soup with veggies — perfect for hill weather,https://images.unsplash.com/photo-1547592180-85f173990554?w=400,yes,yes,in stock,15 min
Paneer Thukpa,Thukpa,120,1 bowl,Tibetan noodle soup loaded with paneer cubes,https://images.unsplash.com/photo-1547592180-85f173990554?w=400,yes,no,in stock,15 min
Chicken Thukpa,Thukpa,120,1 bowl,Tibetan-style noodle soup with chicken — house bestseller,https://images.unsplash.com/photo-1547592180-85f173990554?w=400,no,yes,in stock,15 min
Veg Momo,Chinese,70,8 pcs,Soft steamed veg momos with spicy red chutney,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,yes,yes,in stock,12 min
Paneer Momo,Chinese,80,8 pcs,Steamed paneer momos with chutney,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,yes,yes,in stock,12 min
Non Veg Momo,Chinese,80,8 pcs,Classic steamed chicken momos with chutney,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,no,yes,in stock,12 min
Mexican Momo,Chinese,100,8 pcs,Momos in tangy Mexican-spiced sauce,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,yes,no,in stock,15 min
Achari Momo,Chinese,100,8 pcs,Pickle-spiced tangy momos — desi twist,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,yes,no,in stock,15 min
Chilli Momo,Chinese,100,8 pcs,Momos tossed in spicy Indo-Chinese chilli sauce,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,yes,yes,in stock,15 min
Spring Roll,Chinese,60,2 pcs,Crispy fried veg spring rolls with sweet-chilli dip,https://images.unsplash.com/photo-1606755456206-b25206cde27e?w=400,yes,no,in stock,10 min
Veg Roll (Half),Rolls,60,1 roll,Mixed-veg wrap in soft paratha — half plate,https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=400,yes,no,in stock,8 min
Veg Roll (Full),Rolls,80,1 roll,Mixed-veg wrap in soft paratha — full plate,https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=400,yes,no,in stock,8 min
Egg Roll (Half),Rolls,80,1 roll,Egg-stuffed paratha roll — half plate,https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=400,no,no,in stock,8 min
Egg Roll (Full),Rolls,100,1 roll,Egg-stuffed paratha roll — full plate,https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=400,no,yes,in stock,8 min
Paneer Roll (Half),Rolls,90,1 roll,Paneer wrap in soft paratha — half plate,https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=400,yes,no,in stock,10 min
Paneer Roll (Full),Rolls,110,1 roll,Paneer wrap in soft paratha — full plate,https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=400,yes,yes,in stock,10 min
Chicken Roll (Half),Rolls,100,1 roll,Tender chicken wrap in soft paratha — half plate,https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=400,no,no,in stock,10 min
Chicken Roll (Full),Rolls,120,1 roll,Tender chicken wrap in soft paratha — full plate,https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=400,no,yes,in stock,10 min
Chilli Paneer Roll (Half),Rolls,110,1 roll,Spicy chilli paneer wrap — half plate,https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=400,yes,no,in stock,10 min
Chilli Paneer Roll (Full),Rolls,130,1 roll,Spicy chilli paneer wrap — full plate,https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=400,yes,yes,in stock,10 min
Chilli Chicken Roll (Half),Rolls,120,1 roll,Spicy chilli chicken wrap — half plate,https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=400,no,no,in stock,10 min
Chilli Chicken Roll (Full),Rolls,140,1 roll,Spicy chilli chicken wrap — full plate,https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=400,no,yes,in stock,10 min
Chicken Egg Roll (Half),Rolls,110,1 roll,Chicken with egg wrap in paratha — half plate,https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=400,no,no,in stock,10 min
Chicken Egg Roll (Full),Rolls,130,1 roll,Chicken with egg wrap in paratha — full plate,https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=400,no,no,in stock,10 min
