name,hindiname,category,price,mrp,unit,description,image,veg,bestseller,combo,quickqty,rating,prepTime,serves,sizes,addons,stock,cut,halal,freshness
Chicken Curry Cut,चिकन करी कट,Chicken,260,300,500g,"Fresh farm chicken cut into curry-size pieces, cleaned and ready to cook",https://images.unsplash.com/photo-1604908176997-125f25cc6f3d?w=400,no,yes,no,no,4.8,15 min,2-3,"500g:260, 1kg:480, 2kg:920",,in stock,Curry cut,Yes,Same day
Whole Chicken With Skin,पूरा मुर्गा (खाल सहित),Chicken,220,260,1 bird,"Whole chicken with skin — average weight 1.0-1.2 kg, vacuum-sealed",https://images.unsplash.com/photo-1587593810167-a84920ea0781?w=400,no,yes,no,no,4.7,10 min,3-4,,Custom cut:50,in stock,Whole,Yes,Same day
Whole Chicken Without Skin,पूरा मुर्गा (बिना खाल),Chicken,250,290,1 bird,Whole chicken with skin removed — cleaner cooking,https://images.unsplash.com/photo-1587593810167-a84920ea0781?w=400,no,no,no,no,4.6,10 min,3-4,,Custom cut:50,in stock,Whole,Yes,Same day
Chicken Boneless,चिकन बोनलेस,Chicken,390,450,500g,Boneless chicken pieces — perfect for curries and stir-fry,https://images.unsplash.com/photo-1604503468506-a8da13d82791?w=400,no,yes,no,no,4.8,12 min,2,"500g:390, 1kg:740",,in stock,Boneless,Yes,Same day
Chicken Breast Boneless,चिकन ब्रेस्ट बोनलेस,Chicken,420,480,500g,Premium boneless skinless chicken breast — for tikka and grills,https://images.unsplash.com/photo-1604503468506-a8da13d82791?w=400,no,yes,no,no,4.8,10 min,2,"500g:420, 1kg:800",,in stock,Boneless,Yes,Same day
Chicken Thigh Boneless,चिकन थाई बोनलेस,Chicken,400,460,500g,Juicy boneless thigh meat — perfect for kebabs and biryani,https://images.unsplash.com/photo-1604503468506-a8da13d82791?w=400,no,no,no,no,4.7,12 min,2,"500g:400, 1kg:760",,in stock,Boneless,Yes,Same day
Chicken Thigh Bone-In,चिकन थाई (हड्डी सहित),Chicken,310,350,500g,Bone-in thigh pieces with skin — full flavor for curries,https://images.unsplash.com/photo-1611784728558-6a7645e72966?w=400,no,no,no,no,4.6,10 min,2,,,in stock,Bone-in,Yes,Same day
Chicken Drumstick,चिकन ड्रमस्टिक,Chicken,290,330,500g,Whole drumsticks — great for tandoor and curry,https://images.unsplash.com/photo-1611784728558-6a7645e72966?w=400,no,yes,no,no,4.7,10 min,2-3,"500g:290, 1kg:560",,in stock,Leg piece,Yes,Same day
Chicken Whole Legs,चिकन पूरे पैर,Chicken,280,320,500g,Whole leg pieces (thigh + drumstick) — bone-in,https://images.unsplash.com/photo-1611784728558-6a7645e72966?w=400,no,no,no,no,4.6,10 min,2-3,,,in stock,Leg piece,Yes,Same day
Chicken Wings,चिकन विंग्स,Chicken,250,290,500g,Whole chicken wings — fry/tandoor/Buffalo style,https://images.unsplash.com/photo-1527477396000-e27163b481c2?w=400,no,no,no,no,4.5,10 min,2,,,in stock,Wings,Yes,Same day
Chicken Keema (Mince),चिकन कीमा,Chicken,330,380,500g,Freshly minced chicken — coarse grind for keema curry and kebabs,https://images.unsplash.com/photo-1606728035253-49e8a23146de?w=400,no,yes,no,no,4.7,10 min,2-3,"500g:330, 1kg:630",,in stock,Mince,Yes,Same day
Chicken Supreme,चिकन सुप्रीम,Chicken,430,490,500g,"Premium chicken supreme cut — boneless breast with skin, restaurant-grade",https://images.unsplash.com/photo-1604503468506-a8da13d82791?w=400,no,no,no,no,4.8,12 min,2,,,in stock,Supreme,Yes,Same day
Chicken Tandoori Cut,चिकन तंदूरी कट,Chicken,290,330,500g,Bone-in tandoori cut with skin scored — ready for marinade,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=400,no,yes,no,no,4.8,12 min,2-3,,,in stock,Tandoori cut,Yes,Same day
Chicken Biryani Cut,चिकन बिरयानी कट,Chicken,260,300,500g,Bone-in pieces sized perfectly for biryani — large chunks with marrow,https://images.unsplash.com/photo-1604908176997-125f25cc6f3d?w=400,no,yes,no,no,4.7,12 min,3-4,"500g:260, 1kg:480",,in stock,Biryani cut,Yes,Same day
Chicken Soup Bone,चिकन सूप बोन,Chicken,120,150,500g,Bone with marrow — perfect for stocks and soups,https://images.unsplash.com/photo-1606728035253-49e8a23146de?w=400,no,no,no,no,4.4,5 min,3-4,,,in stock,Bone,Yes,Same day
Chicken Liver and Gizzard,चिकन कलेजी और पोटा,Chicken,150,180,500g,Fresh chicken liver and gizzard — cleaned,https://images.unsplash.com/photo-1606728035253-49e8a23146de?w=400,no,no,no,no,4.4,8 min,2,,,in stock,Organ,Yes,Same day
Royal Dog Food,रॉयल डॉग फूड,Pet Food,140,160,1 kg,Premium chicken meat blend for dogs — bone-in mix,https://images.unsplash.com/photo-1606728035253-49e8a23146de?w=400,no,no,no,no,4.6,5 min,N/A,,,in stock,Pet,Halal-not-applicable,Same day
Dog Food (Bone Only),डॉग फूड (हड्डी),Pet Food,80,100,1 kg,Chicken bones only — for dogs,https://images.unsplash.com/photo-1606728035253-49e8a23146de?w=400,no,no,no,no,4.4,5 min,N/A,,,in stock,Bone,Halal-not-applicable,Same day
